順位,路線,駅名,人員,前年比
1,丸ノ内線有楽町線副都心線,池袋,557043 ,1.5
2,丸ノ内線東西線千代田線半蔵門線,大手町,325067 ,3.6
3,千代田線,北千住,291464 ,0.9
4,銀座線丸ノ内線日比谷線,銀座,251459 ,2.5
5,銀座線,新橋,247273 ,2.6
6,丸ノ内線,新宿,233555 ,1
7,銀座線,渋谷,219936 ,1.5
8,銀座線日比谷線,上野,209130 ,0.9
9,有楽町線,豊洲,208012 ,3.7
10,丸ノ内線,東京,204287 ,3.9
11,東西線,高田馬場,200964 ,2.2
12,東西線有楽町線南北線,飯田橋,190749 ,2.4
13,銀座線東西線,日本橋,184397 ,5.5
14,銀座線千代田線半蔵門線,表参道,177078 ,1.5
15,有楽町線,有楽町,172303 ,2.6
16,東西線半蔵門線,九段下,170878 ,2.7
17,千代田線,西日暮里,169159 ,1.8
18,丸ノ内線副都心線,新宿三丁目,156401 ,4.4
19,丸ノ内線日比谷線千代田線,霞ケ関,148944 ,1.9
20,銀座線丸ノ内線千代田線南北線,国会議事堂前・溜池山王,144028 ,2.2
21,有楽町線南北線,市ケ谷,142685 ,2.2
22,日比谷線,六本木,134369 ,1.1
23,日比谷線東西線,茅場町,127550 ,2.7
24,銀座線半蔵門線,三越前,127157 ,1.3
25,東西線,東陽町,125015 ,1.7
26,日比谷線,秋葉原,123152 ,1.5
27,丸ノ内線南北線,四ツ谷,120978 ,3.2
28,銀座線丸ノ内線,赤坂見附,119136 ,4.9
29,銀座線,虎ノ門,118416 ,-2.7
30,東西線,門前仲町,117697 ,1.6
31,銀座線半蔵門線,青山一丁目,115907 ,1.3
32,日比谷線,恵比寿,115726 ,4.1
33,日比谷線,八丁堀,109064 ,2.4
34,有楽町線,新木場,107955 ,2.8
35,銀座線,浅草,105784 ,2.6
36,東西線,葛西,105189 ,1.6
37,日比谷線千代田線,日比谷,104222 ,2.7
38,東西線,西葛西,104112 ,1.3
39,半蔵門線,錦糸町,103851 ,3.6
40,千代田線副都心線,明治神宮前〈原宿〉,103552 ,5.5
41,丸ノ内線南北線,後楽園,102815 ,2.8
42,日比谷線,神谷町,97623 ,-0.9
43,千代田線,新御茶ノ水,94811 ,1.2
44,半蔵門線,神保町,94803 ,3.4
45,千代田線,赤坂,91641 ,2.5
46,日比谷線,東銀座,88023 ,4.3
47,半蔵門線,半蔵門,85648 ,-0.1
48,丸ノ内線,荻窪,85471 ,2.9
49,丸ノ内線,西新宿,85428 ,3.3
50,日比谷線,人形町,81472 ,1.5
51,東西線,早稲田,81312 ,1.5
52,東西線,浦安,80523 ,3
53,銀座線,外苑前,78309 ,2.5
54,半蔵門線,水天宮前,77899 ,6.5
55,丸ノ内線,茗荷谷,77552 ,2
56,東西線,木場,76264 ,0.2
57,日比谷線,築地,75866 ,2.5
58,有楽町線半蔵門線南北線,永田町,75107 ,8.1
59,丸ノ内線,中野坂上,74354 ,2.2
60,南北線,六本木一丁目,74205 ,6.4
61,有楽町線,月島,72169 ,2.5
62,有楽町線,?町,63526 ,3.9
63,日比谷線,広尾,61620 ,2.1
64,南北線,王子,61612 ,3.5
65,東西線,南砂町,61102 ,-1.9
66,千代田線,町屋,59925 ,1.5
67,銀座線,神田,59201 ,4.3
68,丸ノ内線,御茶ノ水,58407 ,1.7
69,丸ノ内線,淡路町,57779 ,2.3
70,東西線,行徳,57149 ,1.9
71,銀座線,京橋,56882 ,4.3
72,丸ノ内線,本郷三丁目,55848 ,4
73,半蔵門線,住吉,54658 ,4.5
74,半蔵門線,清澄白河,54201 ,2.7
75,東西線,南行徳,53410 ,1.7
76,丸ノ内線,新宿御苑前,52270 ,4.8
77,有楽町線,江戸川橋,51594 ,0.1
78,有楽町線,地下鉄成増,50827 ,3.2
79,東西線,妙典,50589 ,3.3
80,東西線,竹橋,49452 ,-1.2
81,南北線,麻布十番,47376 ,1.7
82,丸ノ内線,四谷三丁目,45695 ,1.1
83,有楽町線,東池袋,42752 ,2.7
84,有楽町線,平和台,42508 ,1.8
85,千代田線,乃木坂,42394 ,5.2
86,有楽町線,護国寺,41976 ,1
87,日比谷線,仲御徒町,41390 ,0
88,有楽町線,新富町,41214 ,2.6
89,東西線,神楽坂,39843 ,-0.5
90,副都心線,東新宿,39657 ,4.5
91,南北線,駒込,39584 ,2.7
92,有楽町線,氷川台,39258 ,1.4
93,有楽町線副都心線,要町,39204 ,1.9
94,日比谷線,三ノ輪,39203 ,4.4
95,日比谷線,小伝馬町,39025 ,2.1
96,有楽町線副都心線,千川,38023 ,3.3
97,有楽町線,銀座一丁目,37248 ,1.5
98,副都心線,西早稲田,37189 ,5.1
99,有楽町線,地下鉄赤塚,36913 ,3.5
100,丸ノ内線,新高円寺,36767 ,2.2
101,丸ノ内線,方南町,36335 ,3.8
102,丸ノ内線,東高円寺,35377 ,2
103,丸ノ内線,新中野,35079 ,3.4
104,千代田線,湯島,34750 ,1.7
105,南北線,王子神谷,34592 ,2.7
106,千代田線,二重橋前,33849 ,0.5
107,日比谷線,入谷,32324 ,3.7
108,銀座線,田原町,32228 ,3.5
109,有楽町線,辰巳,29975 ,1.7
110,千代田線,北綾瀬,29278 ,5
111,日比谷線,南千住,29220 ,3
112,南北線,東大前,28456 ,3.8
113,千代田線,根津,28351 ,3
114,千代田線,千駄木,28343 ,3.8
115,千代田線,代々木公園,26767 ,4.6
116,東西線,原木中山,26636 ,2.4
117,丸ノ内線,南阿佐ケ谷,26025 ,3.4
118,東西線,落合,25857 ,2.2
119,丸ノ内線,新大塚,24849 ,1.9
120,銀座線,末広町,23841 ,3.1
121,銀座線,上野広小路,23437 ,1.4
122,副都心線,北参道,23051 ,5.1
123,南北線,本駒込,22993 ,2.6
124,丸ノ内線,中野新橋,19837 ,1
125,丸ノ内線,中野富士見町,19025 ,1.5
126,副都心線,雑司が谷,17896 ,2.6
127,銀座線,稲荷町,16620 ,4.3
128,有楽町線,桜田門,13898 ,-1.3
129,南北線,志茂,12057 ,3.8
130,南北線,西ケ原,8383 ,3.4
